tradedate,ticker,open,close,high,low,volume,openinterest
2019-04-08,600519,900.0,900.2,908.0,890.12,6625192.999999999,0
2019-04-09,600519,903.0,905.0,908.2,892.51,4798980.0,0
2019-04-10,600519,903.0,947.99,951.9,900.0,6781438.0,0
2019-04-11,600519,947.9999999999999,925.2,949.9999999999999,905.55,6110254.0,0
2019-04-12,600519,909.0,914.0,919.99,900.01,4861217.0,0
2019-04-15,600519,931.0,907.0,939.0,907.0,4552264.0,0
2019-04-16,600519,904.9,939.9,939.9,901.22,4642344.0,0
2019-04-17,600519,938.0,952.0000000000001,955.51,925.0,4076102.0,0
2019-04-18,600519,945.41,945.5,954.68,936.22,1959852.0,0
2019-04-19,600519,943.9600000000002,952.56,960.95,931.31,3237978.0,0
2019-04-22,600519,959.5,949.2,978.89,940.61,4062796.0,0
2019-04-23,600519,951.0000000000001,974.95,981.22,949.2,4885205.0,0
2019-04-24,600519,979.88,970.0,990.0,951.2200000000001,4522700.0,0
2019-04-25,600519,968.79,952.3700000000001,973.99,951.2200000000001,3980134.0,0
2019-04-26,600519,946.3,944.9999999999999,959.88,944.9999999999999,4327768.0,0
2019-04-29,600519,944.9999999999999,971.97,989.0,935.0,5257230.0,0
2019-04-30,600519,968.0,974.0,984.96,963.11,3594318.0,0
2019-05-06,600519,925.5,906.0,935.0,893.0,13509968.0,0
2019-05-07,600519,893.28,890.0,913.94,870.22,10083726.0,0
2019-05-08,600519,860.0,884.4,901.8,860.0,8188298.0,0
2019-05-09,600519,875.0,858.81,879.8700000000001,842.5,9154515.0,0
2019-05-10,600519,875.66,907.12,910.78,868.19,7990738.0,0
2019-05-13,600519,898.86,892.0,910.98,884.0,4663718.0,0
2019-05-14,600519,885.0,886.57,906.0,873.0,5998312.0,0
2019-05-15,600519,890.24,927.0,933.0,890.24,6312425.0,0
2019-05-16,600519,919.0,929.91,932.0,905.0,4454012.0,0
2019-05-17,600519,927.02,906.79,932.3,900.1,4984161.0,0
2019-05-20,600519,900.0,884.96,900.0,871.0,4440799.0,0
2019-05-21,600519,885.0,895.0,910.0,872.02,4238565.0,0
2019-05-22,600519,894.98,888.0,904.0,880.0,3204158.0,0
2019-05-23,600519,881.0,861.0,883.98,856.22,5805863.0,0
2019-05-24,600519,865.0,878.5000000000001,885.0,864.44,4403409.0,0
2019-05-27,600519,879.1,879.0,882.99,860.05,3916191.0000000005,0
2019-05-28,600519,877.99,888.0,907.49,875.0199999999999,7477277.0,0
2019-05-29,600519,888.01,911.91,924.95,888.01,6564696.000000001,0
2019-05-30,600519,910.0,905.3,919.99,891.22,4024720.0,0
2019-05-31,600519,900.53,890.0,906.9899999999999,890.0,3579380.0000000005,0
2019-06-03,600519,892.0,892.0,901.35,886.2800000000001,3447924.0,0
2019-06-04,600519,895.0,875.3,895.43,871.0,3968948.0000000005,0
2019-06-05,600519,884.0,871.6,886.26,870.0,3406736.0,0
2019-06-06,600519,875.62,862.13,875.77,858.0,3478685.0,0
2019-06-10,600519,857.98,871.08,878.95,840.0,5550246.0,0
2019-06-11,600519,876.0,910.89,915.61,875.0,8010644.0,0
2019-06-12,600519,906.22,906.7,910.9899999999999,894.0,3774740.0,0
2019-06-13,600519,910.0,910.0,912.3,897.0,3291742.0,0
2019-06-14,600519,911.0,913.0,932.3,910.02,4245504.0,0
2019-06-17,600519,907.0,911.6,926.94,906.02,3276903.0,0
2019-06-18,600519,917.0,917.0,920.0,902.6,2944138.0,0
2019-06-19,600519,940.0,932.01,946.7000000000002,932.01,5372640.0,0
2019-06-20,600519,932.5,975.0,975.5,932.2,6727197.0,0
2019-06-21,600519,969.97,976.3,984.4899999999999,964.5,4592675.0,0
2019-06-24,600519,978.3,987.1,999.69,975.0,4577920.0,0
2019-06-25,600519,992.0,982.98,999.0,967.0,5129595.0,0
2019-06-26,600519,985.0,979.8599999999999,985.0,971.22,2958818.0,0
2019-06-27,600519,985.0,996.35,1001.0,981.1199999999999,4797845.0,0
2019-06-28,600519,1000.5919160586446,998.572445361217,1003.5247152121954,985.7148103177957,3108840.0,0
2019-07-01,600519,1019.3963341608228,1047.1412230390501,1050.9366101789392,1015.0326537593461,5233723.0,0
2019-07-02,600519,1040.179630584601,1040.179630584601,1044.7462728652163,1031.0463460233705,3906109.0,0
2019-07-03,600519,1035.1055836061396,1002.5302020044169,1038.1500117932164,996.0354218719863,6713932.000000001,0
2019-07-04,600519,1000.3991022734631,995.7309790532787,1005.4731492519245,985.6031812842695,4621668.0,0
2019-07-05,600519,1000.6020641526017,1014.6267300010692,1020.8982520664475,990.7584130143863,5003271.0,0
2019-07-08,600519,1009.7860891836168,999.4451814415123,1012.6782959613399,989.4391607999864,3361351.9999999995,0
2019-07-09,600519,993.8028412014633,990.5148587594201,1003.6464923396785,982.6906783186326,3172332.0,0
2019-07-10,600519,995.4569805164416,997.0705274555924,1005.2498911848724,991.4687795913709,2816670.0,0
2019-07-11,600519,1004.6207093595431,996.0354218719863,1013.1654044712722,990.4539701956787,3051419.0,0
2019-07-12,600519,995.8324599928478,1000.693396998214,1006.1835158289092,994.5233558724047,2817385.0,0
2019-07-15,600519,982.1325331510018,990.3829335379802,994.6146887180171,965.2156605248114,5987040.0,0
2019-07-16,600519,989.895825028048,982.3354950301404,996.8472693885401,979.2910668430634,3324524.0,0
2019-07-17,600519,982.3354950301404,977.768852749525,987.3993939146449,976.3785638774266,2546887.0,0
2019-07-18,600519,975.7392339581404,961.5319024184482,977.2614480516788,961.2071634118267,3925295.0,0
2019-07-19,600519,969.1429728861405,970.0258570603928,975.0288673811558,962.0393071162945,2801481.0,0
2019-07-22,600519,974.217019864602,971.1928878654388,978.2762574473712,964.3226282566021,2812549.0,0
2019-07-23,600519,976.5510814746942,968.1078673025344,976.845376199445,957.8379962181284,3248395.0,0
2019-07-24,600519,972.5019919858819,960.3750197073591,974.1155389250326,958.6802880165529,4677120.0,0
2019-07-25,600519,959.9792440430391,977.2614480516788,977.626779434128,952.0434345687254,3825570.0,0
2019-07-26,600519,976.2161943741158,979.3215111249342,985.3799232172172,972.7455462408482,2646759.0,0
2019-07-29,600519,976.2770829378572,990.8700420479124,994.0058030806017,974.2271679585589,2698133.0,0
2019-07-30,600519,990.9613748935249,993.427361725057,997.5576359655248,985.3799232172172,1953797.0,0
2019-07-31,600519,989.4391607999864,987.0036182503248,996.3094204088231,980.9046137822141,2252620.0,0
2019-08-01,600519,990.9715229874816,973.5066532876174,991.4687795913709,967.1336502826697,3508951.9999999995,0
2019-08-02,600519,957.9800695335252,968.5848277185097,972.1671048853035,956.965260137833,3971940.0,0
2019-08-05,600519,958.9948789292176,956.3868187822883,968.1281634904482,953.9208319507561,3677431.0,0
2019-08-06,600519,944.7875473895255,960.3141311436175,962.0393071162945,937.4809197405409,4399116.0,0
2019-08-07,600519,963.5615212098329,958.9948789292176,969.6808218658574,958.9948789292176,2686998.0,0
2019-08-08,600519,967.620758792602,986.0699936062879,988.424351404294,966.0985446990636,3880813.0,0
2019-08-09,600519,992.9909936849093,976.2770829378572,995.4772767043555,973.1920623749528,2846170.0,0
2019-08-12,600519,1025.2720805618812,1033.715294734041,1035.2070645457088,1009.7454968077892,8149895.0,0
2019-08-13,600519,1031.208715526681,1033.0252243449704,1041.1944399802933,1025.6475600382873,3032970.0,0
2019-08-14,600519,1045.2739737509762,1058.7810868076408,1067.4780033287238,1045.2739737509762,4141095.0,0
2019-08-15,600519,1043.2240587716778,1060.3743375588779,1061.9777364040715,1043.2240587716778,2723739.0,0
2019-08-16,600519,1065.3874959735974,1070.2179886970928,1091.5086898187174,1056.4165809156777,3608673.0000000005,0
2019-08-19,600519,1076.7127688295236,1071.5169447235792,1085.8257572028404,1064.5857965510006,3286758.0,0
